player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ismael Aaneba,fr FRA,DF,Strasbourg,21,1999,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,22.0,20.0,1777.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.05,0.05,0.0,0.05,1.4,1.4,0.7,0.07,0.04,0.11,0.07,0.11,19.7,0.0,5.0,3.0,27.8,0.0,0.25,0.0,0.0,0.08,-1.4,-1.4,906.0,1164.0,77.8,13287.0,5990.0,545.0,613.0,88.9,284.0,361.0,78.7,51.0,105.0,48.6,0.3,11.0,71.0,20.0,4.0,89.0,959.0,192.0,31.0,0.0,0.0,4.0,40.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,13.0,0.0,0.0,26.0,30.0,1.52,27.0,2.0,1.0,0.0,0.0,3.0,0.15,2.0,1.0,0.0,0.0,0.0,0.0,35.0,22.0,18.0,17.0,0.0,19.0,43.0,44.2,24.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,12.0,30.0,40.0,2.0,1334.0,61.0,413.0,607.0,325.0,37.0,1334.0,10.0,22.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,0.0,24.0,6.0,0.0,11.0,3.0,3.0,0.0,0.0,0.0,136.0,11.0,13.0,45.8
Issah Abbas,gh GHA,"DF,FW",Mainz 05,21,1998,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,80.0,178.0,44.0,7.0,9.0,77.8,5.0,5.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,4.0,7.0,1.0,16.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,32,1987,33.0,33.0,2889.0,3.0,0.0,0.0,0.0,4.0,1.0,0.09,0.0,0.09,0.09,0.09,1.9,1.9,0.3,0.06,0.01,0.07,0.06,0.07,32.1,0.0,5.0,0.0,33.3,0.0,0.16,0.2,0.6,0.13,1.1,1.1,1506.0,1762.0,85.5,30174.0,12190.0,427.0,483.0,88.4,909.0,999.0,91.0,154.0,238.0,64.7,-0.3,4.0,76.0,1.0,0.0,75.0,1697.0,60.0,60.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,17.0,0.53,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,37.0,36.0,23.0,0.0,26.0,42.0,61.9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,15.0,0.0,19.0,61.0,132.0,0.0,2096.0,230.0,1158.0,915.0,38.0,23.0,2096.0,7.0,16.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.0,0.0,14.0,12.0,0.0,37.0,22.0,0.0,0.0,1.0,0.0,200.0,92.0,53.0,63.4
Sabit Abdulai,gh GHA,MF,Getafe,21,1999,3.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,50.0,140.0,10.0,2.0,5.0,40.0,4.0,4.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,10.0,6.0,0.0,18.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,25.0
Mehdi Abeid,dz ALG,MF,Nantes,27,1992,18.0,15.0,1320.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.07,0.05,0.12,0.07,0.12,14.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,-1.0,-1.0,605.0,718.0,84.3,10646.0,2928.0,279.0,298.0,93.6,239.0,266.0,89.8,70.0,116.0,60.3,-0.8,12.0,64.0,7.0,4.0,39.0,662.0,52.0,33.0,0.0,0.0,9.0,40.0,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,7.0,31.0,2.11,18.0,5.0,3.0,1.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,34.0,19.0,16.0,14.0,4.0,15.0,30.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,7.0,20.0,10.0,0.0,848.0,23.0,181.0,542.0,148.0,10.0,848.0,19.0,27.0,70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,23.0,10.0,0.0,31.0,22.0,1.0,0.0,0.0,0.0,108.0,13.0,18.0,41.9
Laurent Abergel,fr FRA,MF,Lorient,27,1993,38.0,32.0,2963.0,3.0,1.0,0.0,0.0,5.0,0.0,0.09,0.03,0.12,0.09,0.12,1.5,1.5,1.7,0.05,0.05,0.1,0.05,0.1,32.9,0.0,10.0,0.0,34.5,0.0,0.3,0.1,0.3,0.05,1.5,1.5,1288.0,1564.0,82.4,22633.0,6551.0,591.0,661.0,89.4,524.0,596.0,87.9,145.0,224.0,64.7,-0.7,20.0,115.0,13.0,4.0,97.0,1521.0,38.0,31.0,1.0,0.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,34.0,59.0,1.79,45.0,0.0,3.0,6.0,4.0,9.0,0.27,6.0,0.0,1.0,1.0,1.0,0.0,145.0,84.0,64.0,69.0,12.0,54.0,162.0,33.3,108.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,6.0,0.0,58.0,46.0,12.0,0.0,1933.0,31.0,489.0,1201.0,278.0,12.0,1933.0,29.0,37.0,78.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,0.0,53.0,44.0,0.0,44.0,37.0,0.0,1.0,0.0,0.0,231.0,9.0,17.0,34.6
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,20,2000,24.0,9.0,912.0,3.0,2.0,0.0,0.0,1.0,0.0,0.3,0.2,0.49,0.3,0.49,2.1,2.1,0.3,0.21,0.03,0.24,0.21,0.24,10.1,0.0,4.0,0.0,21.1,0.0,0.39,0.16,0.75,0.11,0.9,0.9,128.0,202.0,63.4,1703.0,317.0,81.0,111.0,73.0,27.0,44.0,61.4,9.0,17.0,52.9,1.7,6.0,11.0,6.0,0.0,13.0,192.0,10.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,1.38,11.0,0.0,2.0,0.0,1.0,3.0,0.3,2.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,5.0,0.0,3.0,3.0,12.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,4.0,5.0,0.0,318.0,9.0,38.0,138.0,144.0,35.0,318.0,12.0,24.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,33.0,20.0,0.0,18.0,7.0,7.0,0.0,0.0,0.0,26.0,37.0,59.0,38.5
Matthis Abline,fr FRA,FW,Rennes,17,2003,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,24,1995,14.0,14.0,1260.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,0.1,0.01,0.11,0.1,0.11,14.0,0.0,3.0,0.0,23.1,0.0,0.21,0.0,0.0,0.11,-1.4,-1.4,521.0,681.0,76.5,11246.0,4984.0,159.0,187.0,85.0,262.0,307.0,85.3,93.0,169.0,55.0,-0.1,3.0,31.0,1.0,0.0,27.0,653.0,27.0,25.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,9.0,0.64,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,10.0,5.0,0.0,6.0,10.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,3.0,27.0,87.0,0.0,858.0,115.0,505.0,334.0,22.0,16.0,858.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,0.0,9.0,0.0,0.0,10.0,9.0,1.0,0.0,0.0,0.0,97.0,55.0,15.0,78.6
David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,14.0,14.0,1222.0,1.0,0.0,0.0,0.0,5.0,1.0,0.07,0.0,0.07,0.07,0.07,0.6,0.6,0.4,0.04,0.03,0.07,0.04,0.07,13.6,0.0,2.0,0.0,20.0,0.0,0.15,0.1,0.5,0.06,0.4,0.4,558.0,678.0,82.3,10633.0,3990.0,214.0,239.0,89.5,280.0,325.0,86.2,60.0,95.0,63.2,-0.4,2.0,50.0,3.0,1.0,42.0,616.0,59.0,17.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,3.0,0.0,0.0,7.0,5.0,0.37,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,13.0,3.0,2.0,11.0,17.0,64.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,9.0,17.0,34.0,0.0,789.0,50.0,292.0,424.0,83.0,8.0,789.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,7.0,1.0,1.0,9.0,6.0,1.0,0.0,0.0,0.0,76.0,31.0,18.0,63.3
Tammy Abraham,eng ENG,FW,Chelsea,22,1997,22.0,12.0,1040.0,6.0,1.0,0.0,0.0,0.0,0.0,0.52,0.09,0.61,0.52,0.61,5.9,5.9,0.7,0.51,0.06,0.57,0.51,0.57,11.6,0.0,13.0,0.0,40.6,0.0,1.13,0.19,0.46,0.18,0.1,0.1,149.0,211.0,70.6,1714.0,297.0,85.0,111.0,76.6,33.0,46.0,71.7,4.0,8.0,50.0,0.3,9.0,14.0,1.0,0.0,9.0,195.0,16.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,1.47,9.0,0.0,2.0,4.0,2.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,3.0,3.0,1.0,1.0,7.0,14.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,5.0,17.0,0.0,355.0,20.0,35.0,169.0,153.0,60.0,355.0,6.0,18.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,33.0,7.0,0.0,22.0,12.0,4.0,1.0,0.0,0.0,28.0,38.0,28.0,57.6
Amir Abrashi,al ALB,"MF,DF",Freiburg,30,1990,5.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,78.3,258.0,20.0,11.0,14.0,78.6,4.0,5.0,80.0,2.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,30.0,3.0,12.0,14.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3
Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,14.0,2.0,441.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.06,0.0,0.07,0.06,0.07,4.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,-0.3,-0.3,185.0,223.0,83.0,3437.0,574.0,79.0,86.0,91.9,83.0,100.0,83.0,19.0,27.0,70.4,0.0,1.0,20.0,2.0,0.0,14.0,216.0,5.0,4.0,0.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,1.63,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,4.0,1.0,2.0,7.0,28.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,4.0,4.0,0.0,278.0,8.0,39.0,145.0,101.0,4.0,278.0,10.0,16.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,12.0,12.0,0.0,10.0,12.0,1.0,0.0,0.0,0.0,31.0,3.0,5.0,37.5
Francesco Acerbi,it ITA,DF,Lazio,32,1988,32.0,32.0,2813.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.03,0.03,0.0,0.03,1.1,1.1,1.0,0.03,0.03,0.07,0.03,0.07,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,-1.1,-1.1,1854.0,2097.0,88.4,35641.0,11589.0,703.0,767.0,91.7,880.0,930.0,94.6,248.0,352.0,70.5,0.0,10.0,110.0,21.0,10.0,106.0,1974.0,119.0,73.0,0.0,0.0,24.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,4.0,0.0,0.0,11.0,31.0,0.99,26.0,1.0,0.0,2.0,0.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,51.0,32.0,34.0,13.0,4.0,18.0,40.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,0.0,9.0,76.0,121.0,2.0,2420.0,308.0,1117.0,1134.0,188.0,20.0,2420.0,6.0,8.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,0.0,21.0,10.0,1.0,31.0,24.0,2.0,0.0,0.0,0.0,227.0,62.0,25.0,71.3
Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,7.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,0.9,0.9,0.9,0.1,0.1,0.0,0.13,0.0,0.13,0.13,0.13,1.1,0.0,1.0,0.0,50.0,0.0,0.9,0.5,1.0,0.07,0.9,0.9,19.0,32.0,59.4,222.0,43.0,12.0,17.0,70.6,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,53.0,1.0,2.0,27.0,24.0,9.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,7.0,2.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,9.0,7.0,56.3
Marcos Acuña,ar ARG,DF,Sevilla,28,1991,30.0,26.0,2330.0,1.0,2.0,0.0,0.0,5.0,0.0,0.04,0.08,0.12,0.04,0.12,1.0,1.0,2.6,0.04,0.1,0.14,0.04,0.14,25.9,0.0,2.0,0.0,11.1,0.0,0.08,0.06,0.5,0.05,0.0,0.0,1415.0,1767.0,80.1,24839.0,9703.0,675.0,730.0,92.5,542.0,639.0,84.8,159.0,310.0,51.3,-0.6,32.0,104.0,35.0,19.0,82.0,1487.0,277.0,46.0,0.0,0.0,21.0,119.0,25.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,3.0,0.0,0.0,30.0,67.0,2.59,46.0,12.0,6.0,2.0,0.0,8.0,0.31,5.0,2.0,0.0,1.0,0.0,0.0,62.0,42.0,34.0,20.0,8.0,23.0,41.0,56.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,21.0,23.0,30.0,1.0,1997.0,60.0,659.0,873.0,492.0,29.0,1997.0,41.0,61.0,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.0,0.0,40.0,29.0,0.0,45.0,32.0,2.0,0.0,2.0,0.0,160.0,20.0,33.0,37.7
Che Adams,sct SCO,FW,Southampton,24,1996,36.0,30.0,2667.0,9.0,5.0,0.0,0.0,1.0,0.0,0.3,0.17,0.47,0.3,0.47,9.8,9.8,5.0,0.33,0.17,0.5,0.33,0.5,29.6,0.0,31.0,0.0,56.4,0.0,1.05,0.16,0.29,0.18,-0.8,-0.8,431.0,622.0,69.3,6240.0,1416.0,228.0,308.0,74.0,125.0,162.0,77.2,34.0,49.0,69.4,0.0,37.0,35.0,23.0,1.0,53.0,615.0,2.0,1.0,7.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,19.0,68.0,2.29,50.0,0.0,2.0,7.0,9.0,7.0,0.24,6.0,0.0,0.0,0.0,1.0,0.0,25.0,16.0,4.0,15.0,6.0,6.0,17.0,35.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,18.0,4.0,19.0,1.0,912.0,24.0,97.0,396.0,433.0,94.0,912.0,28.0,50.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,0.0,88.0,44.0,0.0,30.0,55.0,19.0,0.0,0.0,0.0,84.0,53.0,133.0,28.5
Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,27.0,21.0,1850.0,1.0,1.0,0.0,0.0,3.0,0.0,0.05,0.05,0.1,0.05,0.1,1.3,1.3,0.9,0.07,0.04,0.11,0.07,0.11,20.6,0.0,4.0,0.0,57.1,0.0,0.19,0.14,0.25,0.19,-0.3,-0.3,1173.0,1375.0,85.3,17415.0,5040.0,670.0,730.0,91.8,394.0,456.0,86.4,65.0,108.0,60.2,0.1,14.0,97.0,24.0,3.0,95.0,1273.0,100.0,22.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,2.0,0.0,0.0,17.0,36.0,1.75,31.0,0.0,0.0,0.0,3.0,3.0,0.15,2.0,0.0,0.0,0.0,0.0,1.0,35.0,24.0,12.0,15.0,8.0,17.0,31.0,54.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,17.0,29.0,30.0,0.0,1587.0,47.0,329.0,962.0,311.0,17.0,1587.0,15.0,26.0,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,0.0,37.0,14.0,0.0,29.0,29.0,2.0,0.0,0.0,0.0,169.0,21.0,13.0,61.8
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27,1993,18.0,3.0,479.0,2.0,3.0,0.0,0.0,2.0,0.0,0.38,0.56,0.94,0.38,0.94,2.1,2.1,2.3,0.4,0.44,0.84,0.4,0.84,5.3,0.0,7.0,0.0,30.4,0.0,1.32,0.09,0.29,0.1,-0.1,-0.1,103.0,156.0,66.0,1445.0,379.0,61.0,80.0,76.3,29.0,41.0,70.7,7.0,11.0,63.6,0.7,11.0,5.0,7.0,2.0,12.0,151.0,5.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,22.0,4.12,15.0,1.0,2.0,2.0,2.0,6.0,1.12,4.0,0.0,0.0,2.0,0.0,0.0,9.0,4.0,4.0,3.0,2.0,7.0,14.0,50.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,1.0,0.0,226.0,2.0,20.0,63.0,147.0,38.0,226.0,3.0,7.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,14.0,6.0,0.0,5.0,8.0,3.0,0.0,0.0,0.0,20.0,11.0,11.0,50.0
