player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Brenden Aaronson,us USA,"MF,FW",Leeds United,22-035,2000,14.0,14.0,1189.0,1.0,2.0,0.0,0.0,2.0,0.0,0.08,0.15,0.23,0.08,0.23,1.9,1.9,2.9,0.14,0.22,0.36,0.14,0.36,13.2,0.0,4.0,1.0,21.1,0.0,0.3,0.05,0.25,0.1,-0.9,-0.9,334.0,446.0,74.9,4267.0,1211.0,192.0,233.0,82.4,84.0,109.0,77.1,15.0,39.0,38.5,-0.9,27.0,27.0,7.0,2.0,28.0,403.0,43.0,10.0,3.0,0.0,0.0,42.0,25.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,51.0,3.86,35.0,7.0,3.0,2.0,3.0,5.0,0.38,3.0,0.0,0.0,1.0,0.0,1.0,24.0,6.0,8.0,13.0,3.0,8.0,24.0,33.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,20.0,1.0,5.0,0.0,614.0,5.0,60.0,264.0,302.0,34.0,614.0,19.0,54.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,32.0,41.0,0.0,8.0,28.0,3.0,0.0,0.0,0.0,68.0,6.0,17.0,26.1
Che Adams,sct SCO,FW,Southampton,26-136,1996,14.0,12.0,1066.0,4.0,1.0,0.0,0.0,0.0,0.0,0.34,0.08,0.42,0.34,0.42,3.9,3.9,1.7,0.33,0.14,0.47,0.33,0.47,11.8,0.0,12.0,0.0,41.4,0.0,1.01,0.14,0.33,0.13,0.1,0.1,178.0,257.0,69.3,2636.0,480.0,109.0,142.0,76.8,40.0,60.0,66.7,18.0,20.0,90.0,-0.7,16.0,8.0,7.0,2.0,11.0,251.0,5.0,0.0,2.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,8.0,28.0,2.36,22.0,1.0,1.0,3.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,4.0,5.0,1.0,4.0,5.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,6.0,3.0,14.0,0.0,386.0,17.0,36.0,137.0,222.0,66.0,386.0,10.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,41.0,11.0,0.0,18.0,12.0,5.0,0.0,0.0,0.0,24.0,32.0,62.0,34.0
Tyler Adams,us USA,MF,Leeds United,23-285,1999,13.0,13.0,1166.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.07,0.07,0.0,0.07,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,619.0,752.0,82.3,9541.0,2956.0,331.0,375.0,88.3,231.0,273.0,84.6,35.0,62.0,56.5,-0.9,15.0,61.0,8.0,0.0,58.0,710.0,42.0,34.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,11.0,24.0,1.85,23.0,0.0,0.0,0.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,52.0,28.0,28.0,20.0,4.0,31.0,46.0,67.4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,17.0,16.0,13.0,0.0,899.0,20.0,201.0,558.0,146.0,2.0,899.0,2.0,12.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0,17.0,7.0,1.0,25.0,12.0,0.0,0.0,0.0,0.0,104.0,9.0,7.0,56.3
Tosin Adarabioyo,eng ENG,DF,Fulham,25-063,1997,10.0,10.0,900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.01,0.0,0.02,0.01,0.02,10.0,0.0,1.0,0.0,33.3,0.0,0.1,0.33,1.0,0.05,0.9,0.9,389.0,488.0,79.7,7888.0,2906.0,100.0,115.0,87.0,253.0,287.0,88.2,32.0,73.0,43.8,0.0,1.0,22.0,2.0,0.0,28.0,466.0,18.0,13.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,5.0,4.0,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,9.0,2.0,0.0,4.0,6.0,66.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,11.0,50.0,0.0,578.0,97.0,304.0,262.0,14.0,3.0,578.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,0.0,1.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,40.0,22.0,5.0,81.5
Nayef Aguerd,ma MAR,DF,West Ham,26-241,1996,1.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.07,0.06,0.12,0.07,0.12,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.1,-0.1,39.0,50.0,78.0,803.0,347.0,13.0,14.0,92.9,20.0,23.0,87.0,6.0,12.0,50.0,0.0,1.0,0.0,1.0,0.0,1.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,56.0,2.0,28.0,26.0,3.0,2.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
Rayan Aït Nouri,fr FRA,DF,Wolves,21-173,2001,10.0,7.0,666.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.05,0.11,0.17,0.05,0.17,7.4,0.0,3.0,0.0,42.9,0.0,0.41,0.0,0.0,0.05,-0.4,-0.4,303.0,367.0,82.6,4848.0,1729.0,168.0,188.0,89.4,112.0,132.0,84.8,18.0,23.0,78.3,-0.8,6.0,21.0,12.0,5.0,25.0,307.0,59.0,2.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,1.0,0.0,0.0,13.0,17.0,2.3,12.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,14.0,3.0,1.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,10.0,0.0,449.0,22.0,126.0,167.0,166.0,21.0,449.0,13.0,28.0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,12.0,6.0,0.0,9.0,6.0,1.0,0.0,1.0,1.0,36.0,7.0,10.0,41.2
Kristoffer Ajer,no NOR,DF,Brentford,24-223,1998,6.0,6.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,185.0,245.0,75.5,3201.0,1388.0,95.0,112.0,84.8,75.0,92.0,81.5,14.0,30.0,46.7,0.0,0.0,15.0,0.0,0.0,13.0,212.0,32.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,6.0,3.0,0.54,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,4.0,3.0,2.0,7.0,13.0,53.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,5.0,11.0,0.0,287.0,26.0,127.0,118.0,45.0,6.0,287.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,3.0,4.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,27.0,8.0,7.0,53.3
Manuel Akanji,ch SUI,DF,Manchester City,27-130,1995,8.0,8.0,701.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.0,0.13,0.5,0.5,0.1,0.07,0.02,0.08,0.07,0.08,7.8,0.0,1.0,0.0,11.1,0.0,0.13,0.0,0.0,0.06,-0.5,-0.5,575.0,609.0,94.4,9758.0,2830.0,262.0,271.0,96.7,276.0,286.0,96.5,29.0,38.0,76.3,0.9,3.0,41.0,0.0,0.0,25.0,596.0,13.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,10.0,1.28,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,5.0,6.0,2.0,11.0,13.0,84.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,8.0,5.0,8.0,0.0,676.0,35.0,242.0,365.0,72.0,13.0,676.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,0.0,4.0,2.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,40.0,7.0,16.0,30.4
Nathan Aké,nl NED,DF,Manchester City,27-281,1995,8.0,7.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.02,0.02,0.03,0.02,0.03,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.1,-0.1,574.0,617.0,93.0,9708.0,3852.0,250.0,265.0,94.3,291.0,304.0,95.7,26.0,35.0,74.3,-0.1,2.0,44.0,0.0,0.0,23.0,598.0,18.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,3.0,7.0,1.1,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0,0.0,4.0,5.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,5.0,6.0,0.0,648.0,29.0,229.0,383.0,37.0,11.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,3.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,24.0,13.0,10.0,56.5
Marc Albrighton,eng ENG,MF,Leicester City,33-008,1989,3.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,13.0,20.0,65.0,150.0,40.0,10.0,15.0,66.7,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,28.0,2.0,8.0,8.0,12.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Thiago Alcántara,es ESP,MF,Liverpool,31-229,1991,8.0,8.0,644.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.01,0.08,0.09,0.01,0.09,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.1,-0.1,491.0,567.0,86.6,8624.0,2610.0,232.0,252.0,92.1,173.0,190.0,91.1,65.0,83.0,78.3,-0.6,9.0,57.0,7.0,0.0,45.0,548.0,18.0,15.0,5.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,14.0,19.0,2.66,17.0,0.0,0.0,0.0,1.0,2.0,0.28,2.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,11.0,12.0,0.0,9.0,12.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,6.0,9.0,5.0,1.0,638.0,19.0,140.0,421.0,80.0,2.0,638.0,6.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,0.0,7.0,8.0,0.0,9.0,14.0,0.0,0.0,1.0,0.0,54.0,10.0,13.0,43.5
Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-050,1998,14.0,12.0,989.0,1.0,0.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,1.1,1.1,2.2,0.1,0.2,0.3,0.1,0.3,11.0,0.0,3.0,1.0,21.4,0.0,0.27,0.07,0.33,0.08,-0.1,-0.1,725.0,994.0,72.9,14030.0,5768.0,326.0,366.0,89.1,273.0,355.0,76.9,116.0,235.0,49.4,-2.2,26.0,78.0,35.0,12.0,75.0,806.0,181.0,18.0,5.0,0.0,17.0,101.0,41.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,7.0,0.0,0.0,14.0,45.0,4.1,28.0,14.0,1.0,2.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,11.0,2.0,2.0,11.0,21.0,52.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,6.0,13.0,15.0,0.0,1075.0,36.0,245.0,542.0,292.0,19.0,1075.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,12.0,6.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,91.0,8.0,5.0,61.5
Alisson,br BRA,GK,Liverpool,30-055,1992,14.0,14.0,1260.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.3,0.0,0.02,0.02,0.0,0.02,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,515.0,84.7,10347.0,6768.0,107.0,107.0,100.0,214.0,219.0,97.7,113.0,185.0,61.1,0.7,1.0,7.0,0.0,0.0,1.0,425.0,89.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,548.0,428.0,536.0,12.0,0.0,0.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,1.0,80.0
Dele Alli,eng ENG,MF,Everton,26-229,1996,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,80.0,123.0,10.0,6.0,8.0,75.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,8.0,11.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
Miguel Almirón,py PAR,FW,Newcastle Utd,28-289,1994,15.0,15.0,1255.0,8.0,1.0,0.0,0.0,0.0,0.0,0.57,0.07,0.65,0.57,0.65,4.6,4.6,1.1,0.33,0.08,0.41,0.33,0.41,13.9,0.0,12.0,0.0,32.4,0.0,0.86,0.22,0.67,0.12,3.4,3.4,400.0,482.0,83.0,5387.0,1372.0,258.0,284.0,90.8,111.0,137.0,81.0,15.0,22.0,68.2,-0.1,12.0,23.0,17.0,2.0,39.0,466.0,12.0,0.0,0.0,0.0,2.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,11.0,40.0,2.87,30.0,1.0,4.0,3.0,2.0,8.0,0.57,3.0,1.0,3.0,1.0,0.0,0.0,24.0,14.0,8.0,9.0,7.0,8.0,13.0,61.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,11.0,2.0,6.0,0.0,647.0,9.0,66.0,208.0,383.0,67.0,647.0,14.0,39.0,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,0.0,26.0,11.0,0.0,9.0,13.0,6.0,0.0,0.0,0.0,66.0,4.0,3.0,57.1
Julián Álvarez,ar ARG,"FW,MF",Manchester City,22-299,2000,12.0,3.0,364.0,3.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.74,0.74,0.74,1.3,1.3,0.4,0.33,0.11,0.44,0.33,0.44,4.0,0.0,6.0,0.0,54.5,0.0,1.48,0.27,0.5,0.12,1.7,1.7,101.0,120.0,84.2,1329.0,194.0,64.0,68.0,94.1,21.0,27.0,77.8,6.0,9.0,66.7,-0.4,5.0,8.0,4.0,1.0,8.0,116.0,4.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,13.0,3.21,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,5.0,2.0,1.0,7.0,14.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,1.0,0.0,157.0,2.0,7.0,63.0,89.0,17.0,157.0,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,5.0,6.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,7.0,3.0,5.0,37.5
Daniel Amartey,gh GHA,DF,Leicester City,27-340,1994,12.0,10.0,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.01,0.05,0.06,0.01,0.06,10.2,0.0,2.0,0.0,66.7,0.0,0.2,0.0,0.0,0.02,-0.1,-0.1,587.0,646.0,90.9,10290.0,3731.0,256.0,274.0,93.4,280.0,298.0,94.0,43.0,61.0,70.5,-0.5,4.0,39.0,1.0,0.0,29.0,632.0,13.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,10.0,0.98,10.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,8.0,4.0,1.0,8.0,9.0,88.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,5.0,7.0,33.0,0.0,734.0,90.0,361.0,339.0,35.0,5.0,734.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,0.0,4.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,61.0,19.0,19.0,50.0
Joachim Andersen,dk DEN,DF,Crystal Palace,26-179,1996,13.0,13.0,1170.0,1.0,0.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,0.9,0.9,0.4,0.07,0.03,0.09,0.07,0.09,13.0,0.0,4.0,0.0,50.0,0.0,0.31,0.13,0.25,0.11,0.1,0.1,706.0,876.0,80.6,16516.0,6221.0,161.0,177.0,91.0,419.0,452.0,92.7,121.0,227.0,53.3,-0.4,4.0,50.0,4.0,0.0,29.0,824.0,50.0,43.0,1.0,0.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,7.0,9.0,0.69,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,11.0,5.0,0.0,7.0,14.0,50.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,6.0,13.0,92.0,0.0,1031.0,194.0,593.0,407.0,36.0,16.0,1031.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,0.0,4.0,2.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,78.0,33.0,11.0,75.0
Elliot Anderson,sct SCO,"FW,MF",Newcastle Utd,20-020,2002,7.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.42,0.45,0.86,0.42,0.86,1.1,0.0,1.0,0.0,25.0,0.0,0.87,0.0,0.0,0.12,-0.5,-0.5,36.0,50.0,72.0,577.0,214.0,19.0,23.0,82.6,14.0,18.0,77.8,2.0,2.0,100.0,-0.5,3.0,6.0,1.0,0.0,3.0,47.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,9.0,7.86,4.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,0.0,1.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,88.0,2.0,17.0,26.0,48.0,19.0,88.0,2.0,13.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,3.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,60.0
Jaidon Anthony,eng ENG,"FW,MF",Bournemouth,22-360,1999,10.0,1.0,272.0,2.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.66,0.66,0.66,0.9,0.9,0.1,0.29,0.02,0.32,0.29,0.32,3.0,0.0,5.0,0.0,83.3,0.0,1.65,0.33,0.4,0.15,1.1,1.1,65.0,96.0,67.7,1005.0,221.0,35.0,42.0,83.3,15.0,26.0,57.7,9.0,11.0,81.8,-0.1,1.0,5.0,4.0,0.0,7.0,87.0,9.0,2.0,2.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,6.0,1.99,4.0,0.0,1.0,0.0,1.0,1.0,0.33,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,2.0,4.0,0.0,3.0,9.0,33.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,123.0,3.0,20.0,57.0,48.0,5.0,123.0,2.0,9.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,1.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,18.0,4.0,4.0,50.0
